input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,csp_domains_,cdn_name,cdn,tls_subject_org_,tls_self_signed
17-121-114-82.cu-prod-kr-inbound-emails-service.clickup.com,,200,39,17-121-114-82.cu-prod-kr-inbound-emails-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-114-82.cu-prod-kr-inbound-emails-service.clickup.com,443,https://17-121-114-82.cu-prod-kr-inbound-emails-service.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-114-82.cu-prod-kr-inbound-emails-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-114-89.channelpartners.clickup.com,,200,39,17-121-114-89.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-114-89.channelpartners.clickup.com,443,https://17-121-114-89.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-114-89.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-115-27.cu-prod-ie-view-service.clickup.com,,200,39,17-121-115-27.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-115-27.cu-prod-ie-view-service.clickup.com,443,https://17-121-115-27.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-115-27.cu-prod-ie-view-service.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-115-45.help.clickup.com,,200,39,17-121-115-45.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-115-45.help.clickup.com,443,https://17-121-115-45.help.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-115-45.help.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-115-70.channelpartners.clickup.com,,200,39,17-121-115-70.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-115-70.channelpartners.clickup.com,443,https://17-121-115-70.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-115-70.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-115-91.help.clickup.com,,200,39,17-121-115-91.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-115-91.help.clickup.com,443,https://17-121-115-91.help.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-115-91.help.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-116-21.cu-prod-ie-view-service.clickup.com,,200,39,17-121-116-21.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-116-21.cu-prod-ie-view-service.clickup.com,443,https://17-121-116-21.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-116-21.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-116-43.help.clickup.com,,200,39,17-121-116-43.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-116-43.help.clickup.com,443,https://17-121-116-43.help.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-116-43.help.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-116-78.cu-prod-ie-view-service.clickup.com,,200,39,17-121-116-78.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-116-78.cu-prod-ie-view-service.clickup.com,443,https://17-121-116-78.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-116-78.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-117-43.cu-prod-ie-view-service.clickup.com,,200,39,17-121-117-43.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-117-43.cu-prod-ie-view-service.clickup.com,443,https://17-121-117-43.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-117-43.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-117-80.help.clickup.com,,200,39,17-121-117-80.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-117-80.help.clickup.com,443,https://17-121-117-80.help.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-117-80.help.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-118-10.partner.clickup.com,,200,39,17-121-118-10.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-118-10.partner.clickup.com,443,https://17-121-118-10.partner.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-118-10.partner.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-118-65.partner.clickup.com,,200,39,17-121-118-65.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-118-65.partner.clickup.com,443,https://17-121-118-65.partner.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-118-65.partner.clickup.com/404,52.59.154.138,Nginx,3,False,,,,,
17-121-118-91.channelpartners.clickup.com,,200,39,17-121-118-91.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-118-91.channelpartners.clickup.com,443,https://17-121-118-91.channelpartners.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-118-91.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-118-91.cu-prod-ie-view-service.clickup.com,,200,39,17-121-118-91.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-118-91.cu-prod-ie-view-service.clickup.com,443,https://17-121-118-91.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,54.93.144.114,/,319998817,https://17-121-118-91.cu-prod-ie-view-service.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-120-1.help.clickup.com,,200,39,17-121-120-1.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-1.help.clickup.com,443,https://17-121-120-1.help.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-120-1.help.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-120-14.channelpartners.clickup.com,,200,39,17-121-120-14.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-14.channelpartners.clickup.com,443,https://17-121-120-14.channelpartners.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-120-14.channelpartners.clickup.com/404,52.59.154.138,Nginx,3,False,,,,,
17-121-120-14.cu-prod-ie-view-service.clickup.com,,200,39,17-121-120-14.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-14.cu-prod-ie-view-service.clickup.com,443,https://17-121-120-14.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-120-14.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-120-46.cu-prod-ie-view-service.clickup.com,,200,39,17-121-120-46.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-46.cu-prod-ie-view-service.clickup.com,443,https://17-121-120-46.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-120-46.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-120-50.channelpartners.clickup.com,,200,39,17-121-120-50.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-50.channelpartners.clickup.com,443,https://17-121-120-50.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-120-50.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-120-8.cu-prod-ie-view-service.clickup.com,,200,39,17-121-120-8.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-120-8.cu-prod-ie-view-service.clickup.com,443,https://17-121-120-8.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-120-8.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-121-66.channelpartners.clickup.com,,200,39,17-121-121-66.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-121-66.channelpartners.clickup.com,443,https://17-121-121-66.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-121-66.channelpartners.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-121-89.cu-prod-ie-view-service.clickup.com,,200,39,17-121-121-89.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-121-89.cu-prod-ie-view-service.clickup.com,443,https://17-121-121-89.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-121-89.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-122-45.channelpartners.clickup.com,,200,39,17-121-122-45.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-122-45.channelpartners.clickup.com,443,https://17-121-122-45.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-122-45.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-122-59.channelpartners.clickup.com,,200,39,17-121-122-59.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-122-59.channelpartners.clickup.com,443,https://17-121-122-59.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-122-59.channelpartners.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-122-59.cu-prod-ie-view-service.clickup.com,,200,39,17-121-122-59.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-122-59.cu-prod-ie-view-service.clickup.com,443,https://17-121-122-59.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-122-59.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-122-79.partner.clickup.com,,200,39,17-121-122-79.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-122-79.partner.clickup.com,443,https://17-121-122-79.partner.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-122-79.partner.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-123-13.cu-prod-ie-view-service.clickup.com,,200,39,17-121-123-13.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-123-13.cu-prod-ie-view-service.clickup.com,443,https://17-121-123-13.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-123-13.cu-prod-ie-view-service.clickup.com/404,54.93.144.114,Nginx,3,False,,,,,
17-121-123-78.channelpartners.clickup.com,,200,39,17-121-123-78.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-123-78.channelpartners.clickup.com,443,https://17-121-123-78.channelpartners.clickup.com:443,https,nginx,text/html,GET,54.93.144.114,/,319998817,https://17-121-123-78.channelpartners.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-123-78.cu-prod-ie-view-service.clickup.com,,200,39,17-121-123-78.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-123-78.cu-prod-ie-view-service.clickup.com,443,https://17-121-123-78.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,54.93.144.114,/,319998817,https://17-121-123-78.cu-prod-ie-view-service.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-123-91.channelpartners.clickup.com,,200,39,17-121-123-91.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-123-91.channelpartners.clickup.com,443,https://17-121-123-91.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-123-91.channelpartners.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-124-35.channelpartners.clickup.com,,200,39,17-121-124-35.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-124-35.channelpartners.clickup.com,443,https://17-121-124-35.channelpartners.clickup.com:443,https,nginx,text/html,GET,52.59.154.138,/,319998817,https://17-121-124-35.channelpartners.clickup.com/404,3.75.98.32,Nginx,3,False,,,,,
17-121-124-35.partner.clickup.com,,200,39,17-121-124-35.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-124-35.partner.clickup.com,443,https://17-121-124-35.partner.clickup.com:443,https,nginx,text/html,GET,54.93.144.114,/,319998817,https://17-121-124-35.partner.clickup.com/404,52.59.154.138,Nginx,3,False,,,,,
17-121-125-41.cu-prod-ie-view-service.clickup.com,,200,39,17-121-125-41.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-125-41.cu-prod-ie-view-service.clickup.com,443,https://17-121-125-41.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,3.75.98.32,/,319998817,https://17-121-125-41.cu-prod-ie-view-service.clickup.com/404,52.59.154.138,Nginx,3,False,,,,,
